,Word,Count
2271,ended,246
1548,term,245
557,major,245
1542,group,244
881,completely,244
3410,lights,244
767,frontierland,243
2144,fe,243
1750,website,243
1384,feeling,243
1575,massive,242
1744,hope,241
1368,care,240
3609,airport,240
1364,lodge,239
2194,disappointment,239
955,slightly,238
2357,earlier,238
256,moment,238
1613,standard,237
1127,entire,236
934,waste,235
2578,someone,235
2594,house,235
193,incredible,234
673,works,234
2767,smile,233
539,disneyworld,232
1688,saying,232
1321,travelled,232
730,wow,232
3481,frozen,231
7,forward,231
1207,saturday,231
1058,buying,230
1300,planet,230
1794,pre,229
4084,saved,229
1173,ready,228
935,illuminations,228
544,parking,228
944,fair,227
1221,technical,226
803,negative,226
1478,crowd,226
694,bother,225
2179,yet,225
648,change,224
1645,compare,224
936,suggest,223
967,pizza,223
458,difficult,223
3439,running,222
707,yr,222
2691,disabled,222
1820,pleasant,221
1881,turn,220
2094,impressed,220
201,starts,220
1875,queueing,219
2664,paying,219
3722,york,219
225,facilities,219
784,rock,218
736,aware,218
2302,again,218
748,faces,217
2191,difference,217
2572,reasonable,217
2080,case,216
1230,ahead,215
1424,oh,215
680,greets,215
1479,slow,215
2048,eurodisney,215
72,normal,214
384,worked,214
74,fault,213
1461,public,213
1771,girl,213
3157,annual,213
2665,west,212
2208,fantasy,212
1776,points,212
9,biggest,212
342,usual,212
964,wild,211
818,costs,210
2436,low,210
887,means,210
1202,cool,210
1048,various,209
2452,opinion,209
532,spending,209
1617,shoes,209
1322,called,209
2838,example,208
1298,non,208
1133,version,208
13,recommended,207
1491,note,206
2126,card,206
2054,across,205
584,cream,205
1241,cant,204
1621,months,204
638,information,204
785,n,204
1310,looks,204
1177,hall,203
1497,mcdonalds,203
1551,pick,203
202,it,203
2777,previous,203
1616,comfortable,202
2013,greet,202
2652,toy,201
102,decent,200
1592,dark,200
995,experienced,200
1166,rollercoaster,200
3125,decorations,200
1831,door,200
212,literally,198
540,perhaps,198
1726,snack,198
1637,signs,197
538,anaheim,197
2099,honest,197
2175,via,196
2141,mid,196
1138,entertainment,195
3009,towards,195
89,variety,195
315,alot,194
2181,lost,194
745,leaving,194
218,behind,194
332,allow,194
2603,quieter,193
1037,considering,193
1188,watched,192
1634,fill,192
1266,cover,192
1590,partner,192
1352,together,192
1146,newport,191
1818,issues,191
1109,advise,191
1804,noticed,191
2130,polite,191
1689,comes,191
1158,shorter,190
1370,size,190
403,america,190
283,exciting,190
1150,thoroughly,189
3210,budget,189
2827,picture,188
341,none,188
1427,cars,187
1872,autographs,187
2967,sunday,187
2448,travelling,187
1223,crushs,187
1162,move,187
113,helped,186
817,souvenirs,186
1152,opens,186
875,guess,185
1432,missing,185
853,basically,185
1467,total,185
1147,bay,185
252,beauty,184
245,package,184
2496,mainly,183
1927,complete,183
2896,discoveryland,182
207,favorite,182
1753,friday,182
4134,metro,182
1137,imagine,181
90,outlets,180
1210,nd,180
2774,gate,179
1363,sequoia,179
1943,mean,179
789,designated,179
2050,surprise,178
2587,sign,178
663,sandwiches,178
2701,hardly,178
