,Word,Count
3089,off,143
833,convenient,143
1001,list,142
1865,information,142
2250,winter,142
3938,headed,142
1755,massive,142
204,location,142
164,coffee,142
1828,literally,142
5368,pizza,141
1596,guide,141
4500,budget,140
2575,uk,140
756,none,140
929,march,140
2604,considering,140
1080,speak,140
1960,teenagers,140
648,burger,140
2676,stores,139
419,card,139
88,local,139
1568,thursday,139
1940,goofy,139
1855,hardly,139
1967,completely,138
1648,december,138
1344,rush,138
1046,paying,138
44,n,138
1016,multiple,138
1637,fair,137
1045,max,137
780,feet,137
649,outlets,136
574,movie,136
2106,lands,136
977,metro,136
2035,months,136
1393,helped,136
1105,golden,136
61,previous,135
1017,tuesday,135
3503,turned,135
775,13,135
158,grand,135
925,amusement,135
2391,saved,134
2776,facilities,134
346,choices,134
2133,carry,134
928,heart,134
2116,name,134
3125,looks,133
1236,signs,133
829,booking,132
811,fill,132
1307,type,132
2218,june,132
1767,empty,131
5186,ridiculous,130
1058,thoroughly,130
2457,stopped,130
1575,chicken,130
544,town,130
3044,classic,130
3194,finding,130
2954,disabled,129
1466,basically,129
3052,manage,129
486,level,129
1938,opportunity,129
2405,hall,129
4296,busier,128
1932,seat,128
2097,1st,127
1212,exit,127
683,recently,127
18,fabulous,127
779,leaving,126
225,suitable,126
2119,imagine,126
2876,girl,125
10141,frontierland,125
1352,april,125
1810,river,125
24,relatively,125
3641,que,124
2285,schedule,124
653,friend,124
1449,fire,124
786,smallest,124
2847,treat,124
1775,organised,123
2700,ques,123
1781,prior,123
188,notice,123
745,rooms,123
3917,smoke,123
2756,fans,123
2008,coasters,122
3391,event,121
451,experiences,121
546,okay,121
1031,thrilling,121
274,sell,120
1784,beauty,120
864,moment,120
1373,yr,120
4725,broken,120
3098,laser,120
1553,prefer,120
5112,term,120
2438,luckily,119
1440,issues,119
1026,particular,119
2007,filled,118
2039,sandwiches,118
1202,checked,118
1877,8pm,118
1558,offers,118
3902,before,118
4617,research,118
2316,over,118
1614,height,117
1612,six,117
473,travelling,117
3144,europe,117
1315,september,117
5058,annoying,117
1794,located,117
200,souvenir,117
2254,11pm,117
2202,events,117
1111,air,116
2703,moving,116
1349,enjoying,116
583,honest,116
1791,smile,116
1732,pack,116
41,iron,116
4929,tram,116
127,shade,115
1188,period,115
7084,nemo,115
1153,terrible,115
3780,sign,115
2144,grab,115
1471,paint,115
1687,wet,115
676,guest,115
3452,frustrating,115
16857,eurostar,115
1013,covered,114
1155,awful,114
2445,bother,114
2266,tourists,114
254,selection,114
1496,weekdays,114
618,hongkong,114
2006,after,113
1530,add,113
1142,ups,113
1061,reach,113
5881,blue,113
2591,travelled,113
1772,control,113
1243,island,113
1436,happened,112
1117,charge,112
1507,gives,112
1262,riding,112
7549,8am,112
2516,sort,112
611,plaza,112
748,regular,111
1458,january,111
4674,door,111
718,chose,111
2900,explore,111
7640,reservations,111
1723,games,111
16849,rer,111
1214,express,111
3916,november,110
4850,immediately,110
1456,3rd,110
1833,china,110
2735,offered,110
3180,wednesday,110
2772,14,110
2600,parts,110
3770,mad,109
1487,america,109
3464,sat,109
1978,important,109
820,impressive,109
1310,scale,109
4110,closes,109
2477,advise,108
167,gift,108
340,burgers,108
356,sad,108
2732,range,108
2914,locals,108
835,discount,107
2775,unlike,107
1875,30pm,107
1057,eyes,107
1680,raining,107
1813,dog,107
4880,autographs,106
3447,west,106
1735,download,106
1403,designated,106
1088,personally,106
2832,boy,106
2050,incredible,106
2159,seating,106
1748,donald,105
4010,technical,104
2167,polite,104
1679,starting,104
1785,stood,104
3138,separate,104
1468,highlights,103
1112,excitement,103
4381,out,103
1601,terms,103
2043,bringing,103
3196,fries,103
2212,memorable,102
92,worst,102
2017,beat,102
2382,total,102
1792,faces,102
5015,become,102
2945,greet,102
7675,impossible,102
668,pool,101
2058,tiring,101
4163,somewhere,101
3446,wild,101
870,cancelled,101
882,states,100
2234,during,100
2940,loves,100
29,while,100
3088,ran,100
1414,minimum,99
1324,finish,99
1628,exactly,99
2322,decorated,99
2959,wheelchair,99
1047,fee,99
1589,entertaining,98
10231,planet,98
2213,complaint,98
1710,prepare,98
3964,addition,98
1342,happen,98
3145,grown,98
788,february,98
1293,3d,98
1526,greets,97
374,sitting,97
1379,designed,97
5547,nightmare,97
1081,entering,97
2120,thinking,97
878,elsa,96
2556,phantom,96
3246,ears,96
2517,personal,96
2296,whether,96
482,road,96
661,incredibly,96
1592,clearly,96
1603,surprisingly,96
1528,feels,96
1192,a,96
2852,mention,95
520,route,95
488,numerous,95
1993,aside,95
2415,thank,95
3615,majority,95
1363,tree,95
3013,grandchildren,94
2528,upon,94
8662,monorail,94
1209,hold,94
2947,added,94
892,rollercoaster,94
4917,stuck,94
762,quieter,94
1303,bar,94
373,depending,94
1129,sadly,94
1547,future,93
735,renovation,93
259,popcorn,93
695,menu,93
2784,spots,93
1698,stage,93
1411,lifetime,93
11800,santa,93
1699,teens,93
532,arriving,93
1999,alone,92
1267,wow,92
2762,sense,92
855,manageable,92
471,simple,92
17055,stunt,92
1041,rainy,92
1580,bored,92
2619,rock,91
440,windows,91
2435,adventures,91
1888,provided,91
3509,healthy,91
3236,machines,91
5102,cups,91
994,typical,91
2567,mcdonalds,91
4310,jump,91
726,closures,90
2514,stick,90
1454,basic,90
3097,effects,90
1737,changes,89
1713,queueing,89
2105,opportunities,89
1124,corner,89
1677,safe,89
5789,sandwich,89
1136,organized,89
337,asian,89
27,moved,89
1253,finished,89
4380,sold,88
4937,flying,88
4044,section,88
883,navigate,88
3454,drive,88
238,movies,88
3771,arrival,88
1371,superb,87
1577,35,87
256,foods,87
2629,nearby,87
11520,de,87
948,talking,87
333,lodge,87
2421,fresh,87
3045,faster,87
519,trains,87
1418,direct,87
1424,checking,87
3654,color,87
5996,alice,87
2678,says,87
5992,carribean,87
3073,fully,87
1668,70,86
1139,decide,86
1958,caught,86
1407,journey,86
1652,hkd,86
2957,pushed,86
325,style,86
2801,served,86
1911,property,86
3151,cant,86
736,construction,86
2053,whatever,86
1726,g,86
2680,specific,86
4240,built,86
1109,fit,85
2348,16,85
4020,seriously,85
1832,mainland,85
758,tourist,85
603,warned,85
976,accessible,85
271,daily,85
4698,eurodisney,85
422,buses,85
3936,p,85
2648,favorites,84
1082,tend,84
4293,wonder,84
1012,standards,84
3443,beginning,84
278,umbrella,84
4887,hate,84
1367,lol,84
2817,reasonably,84
3547,ways,84
3219,picnic,84
406,17,84
2744,sister,84
2905,pluto,84
3903,country,84
4071,fab,83
11801,fe,83
3268,clear,83
4103,10pm,83
